date,tesla
2011/11/28,2.8427
2011/11/29,-2.4877
2011/11/30,3.1181
2011/12/01,-0.4276
2011/12/02,2.1472
2011/12/05,3.3634
2011/12/06,1.3074
2011/12/07,-1.9501
2011/12/08,-9.6519
2011/12/09,0.4856
2011/12/12,-2.0296
2011/12/13,-3.1569
2011/12/14,-3.1239
2011/12/15,0.3155
2011/12/16,-2.1663
2011/12/19,-0.8929
2011/12/20,0.5405
2011/12/21,-1.1828
2011/12/22,0.7254
2011/12/23,0.4681
2011/12/27,2.4014
2011/12/28,-0.21
2011/12/29,0.7717
2011/12/30,-0.5917
2012/01/03,-1.6807
2012/01/04,-1.3177
2012/01/05,-2.1292
2012/01/06,-0.7743
2012/01/09,1.2635
2012/01/10,1.3578
2012/01/11,2.2085
2012/01/12,0.0708
2012/01/13,-19.3274
2012/01/17,16.7179
2012/01/18,0.7895
2012/01/19,-0.1865
2012/01/20,-0.5979
2012/01/23,0.6391
2012/01/24,2.4281
2012/01/25,2.0058
2012/01/26,3.468
2012/01/27,1.3476
2012/01/30,0.8183
2012/01/31,-1.6909
2012/02/01,1.7544
2012/02/02,2.265
2012/02/03,2.9752
2012/02/06,2.0867
2012/02/07,-0.6289
2012/02/08,1.0443
2012/02/09,2.0357
2012/02/10,-4.5427
2012/02/13,1.254
2012/02/14,5.335
2012/02/15,1.2964
2012/02/16,1.7262
2012/02/17,2.3113
2012/02/21,-1.344
2012/02/22,-0.8116
2012/02/23,0.9059
2012/02/24,-2.2589
2012/02/27,-0.3852
2012/02/28,0.5651
2012/02/29,-1.1831
2012/03/01,2.9931
2012/03/02,-1.0753
2012/03/05,-0.7932
2012/03/06,-1.9544
2012/03/07,0.0302
2012/03/08,-0.151
2012/03/09,5.0499
2012/03/12,3.6557
2012/03/13,0.2222
2012/03/14,-2.2167
2012/03/15,-0.8218
2012/03/16,0.9143
2012/03/19,-0.9626
2012/03/20,-0.0572
2012/03/21,0.5435
2012/03/22,-2.1337
2012/03/23,-0.9302
2012/03/26,9.7418
2012/03/27,1.4439
2012/03/28,-0.2372
2012/03/29,-1.3738
2012/03/30,-0.2411
2012/04/02,-1.7723
2012/04/03,3.9092
2012/04/04,-7.919
2012/04/05,-1.4857
2012/04/09,-3.8573
2012/04/10,-2.0814
2012/04/11,1.9409
2012/04/12,1.0577
2012/04/13,0.4486
2012/04/16,-3.9893
2012/04/17,-0.031
2012/04/18,1.3027
2012/04/19,1.5309
2012/04/23,-3.6791
2012/04/24,-0.3757
2012/04/25,3.4255
2012/04/26,1.7624
2012/04/27,-0.4479
2012/04/30,-0.6299
2012/05/01,1.962
2012/05/02,0.4737
2012/05/03,-4.3606
2012/05/04,-1.9409
2012/05/07,2.0107
2012/05/08,-7.0219
2012/05/09,-0.4306
2012/05/10,9.6474
2012/05/11,-2.1541
2012/05/14,-6.7907
2012/05/15,-2.0958
2012/05/16,-0.8495
2012/05/17,-2.0905
2012/05/18,-3.5352
2012/05/21,4.3904
2012/05/22,7.0212
2012/05/23,0.747
2012/05/24,-2.2566
2012/05/25,-1.6821
2012/05/29,6.3066
2012/05/30,-4.0391
2012/05/31,-2.9924
2012/06/01,-4.5763
2012/06/04,-0.9591
2012/06/05,0.1076
2012/06/06,4.6937
2012/06/07,-0.9925
2012/06/08,3.9751
2012/06/11,-3.1915
2012/06/12,1.8544
2012/06/13,0.3709
2012/06/14,-1.2765
2012/06/15,1.7693
2012/06/18,6.4527
2012/06/19,0.7852
2012/06/20,5.2664
2012/06/21,-4.7069
2012/06/22,4.955
2012/06/25,-1.9979
2012/06/26,-4.5304
2012/06/27,1.1072
2012/06/28,-1.7209
2012/06/29,-0.382
2012/07/02,-2.8444
2012/07/03,0.8553
2012/07/05,1.8591
2012/07/06,-0.7685
2012/07/09,1.6134
2012/07/10,-0.6986
2012/07/11,0.7675
2012/07/12,3.7766
2012/07/13,4.7401
2012/07/16,4.9927
2012/07/17,-7.2581
2012/07/18,-3.5982
2012/07/19,0.3733
2012/07/20,-1.4874
2012/07/23,-3.5546
2012/07/24,-2.6745
2012/07/25,-2.9826
2012/07/26,-2.8325
2012/07/27,4.9058
2012/07/30,-7.3196
2012/07/31,0.2559
2012/08/01,-4.267
2012/08/02,-0.5714
2012/08/03,4.4828
2012/08/06,3.667
2012/08/07,7.0039
2012/08/08,-3.8347
2012/08/09,1.1
2012/08/10,1.8021
2012/08/13,4.1082
2012/08/14,-5.6144
2012/08/15,-0.068
2012/08/16,3.0612
2012/08/17,-0.9571
2012/08/20,-1.6661
2012/08/21,-1.3555
2012/08/22,2.8856
2012/08/23,2.6043
2012/08/24,-4.0026
2012/08/27,-4
2012/08/28,1.3065
2012/08/29,-0.9759
2012/08/31,0.3872
2012/09/04,-1.3324
2012/09/05,-0.7107
2012/09/06,2.1832
2012/09/07,2.8021
2012/09/10,-6.7462
2012/09/11,1.5711
2012/09/12,1.7266
2012/09/13,4.2433
2012/09/14,3.0868
2012/09/17,7.0747
2012/09/18,-3.6878
2012/09/19,-0.9253
2012/09/20,-0.4831
2012/09/21,-2.8479
2012/09/24,2.1319
2012/09/25,-9.7847
2012/09/26,-0.4338
2012/09/27,3.4495
2012/09/28,2.7729
2012/10/01,-0.4098
2012/10/02,2.1948
2012/10/03,-1.6779
2012/10/04,0.3413
2012/10/05,-1.7347
2012/10/08,1.2461
2012/10/09,-3.0085
2012/10/10,0.1057
2012/10/11,-0.2817
2012/10/12,-2.4011
2012/10/15,-1.1216
2012/10/16,2.6711
2012/10/17,2.7053
2012/10/18,-2.7034
2012/10/19,-1.0699
2012/10/22,0.3965
2012/10/23,1.939
2012/10/24,-3.4167
2012/10/25,0.3647
2012/10/26,-0.5087
2012/10/31,2.7443
2012/11/01,3.96
2012/11/02,-1.1188
2012/11/05,8.9279
2012/11/06,-1.1111
2012/11/07,1.252
2012/11/08,-0.7292
2012/11/09,-3.1619
2012/11/12,2.4736
2012/11/13,1.7519
2012/11/14,-0.7411
2012/11/15,-1.7846
2012/11/16,3.3092
2012/11/19,3.3923
2012/11/20,0.243
2012/11/21,-1.6061
2012/11/23,-1.0471
2012/11/26,0.4357
2012/11/27,-0.3719
2012/11/28,3.3593
2012/11/29,1.3843
2012/11/30,0.3859
2012/12/03,2.3655
2012/12/04,-2.0797
2012/12/05,-0.5605
2012/12/06,0.5636
2012/12/07,0.7965
2012/12/10,1.1706
2012/12/11,2.0538
2012/12/12,-0.0567
2012/12/13,-4.6795
2012/12/14,0.5951
2012/12/17,1.745
2012/12/18,0.5523
2012/12/19,0.0578
2012/12/20,-0.5201
2012/12/21,-1.2489
2012/12/24,0.8235
2012/12/26,-2.0128
2012/12/27,0.2977
2012/12/28,-1.3951
2012/12/31,1.9567
2013/01/02,4.3992
2013/01/03,-1.6686
2013/01/04,-1.0641
2013/01/07,-0.1744
2013/01/08,-1.922
2013/01/09,-0.1188
2013/01/10,-0.327
2013/01/11,-1.8491
2013/01/14,1.0635
2013/01/15,1.9242
2013/01/16,0.59
2013/01/17,0.8211
2013/01/18,0.4072
2013/01/22,1.9409
2013/01/23,2.3018
2013/01/24,2.75
2013/01/25,-0.027
2013/01/28,2.8394
2013/01/29,-0.2104
2013/01/30,-1.1331
2013/01/31,-0.0267
2013/02/01,2.1061
2013/02/04,-1.4621
2013/02/05,1.0334
2013/02/06,2.7275
2013/02/07,0.7914
2013/02/08,-0.6079
2013/02/11,-2.0897
2013/02/12,-1.3795
2013/02/13,1.478
2013/02/14,-0.3901
2013/02/15,-3.2898
2013/02/19,6.0475
2013/02/20,-1.8839
2013/02/21,-8.7701
2013/02/22,2.7019
2013/02/25,-4.7909
2013/02/26,0.1454
2013/02/27,1.946
2013/02/28,-0.7692
2013/03/01,-0.5168
2013/03/04,2.684
2013/03/05,3.0073
2013/03/06,2.8377
2013/03/07,1.4327
2013/03/08,0.6278
2013/03/11,1.6376
2013/03/12,0.0512
2013/03/13,-0.3579
2013/03/14,-5.4643
2013/03/15,-4.2334
2013/03/18,-0.3967
2013/03/19,-0.1991
2013/03/20,2.48
2013/03/21,0.1669
2013/03/22,1.694
2013/03/25,2.485
2013/03/26,0.8793
2013/03/27,0.7924
2013/03/28,-0.7075
2013/04/01,15.9409
2013/04/02,0.9333
2013/04/03,-7.3072
2013/04/04,2.2141
2013/04/05,-1.5234
2013/04/08,1.1119
2013/04/09,-3.1795
2013/04/10,3.358
2013/04/11,4.1328
2013/04/12,0.3671
2013/04/15,-1.0286
2013/04/16,5.2887
2013/04/17,-0.3071
2013/04/18,3.3443
2013/04/19,1.831
2013/04/22,4.9341
2013/04/23,1.6338
2013/04/24,-1.137
2013/04/25,3.1132
2013/04/26,-1.5385
2013/04/29,7.3047
2013/04/30,-1.7292
2013/05/01,-1.3151
2013/05/02,1.5578
2013/05/03,0.8132
2013/05/06,9.0742
2013/05/07,-6.7059
2013/05/08,0.4981
2013/05/09,24.4029
2013/05/10,10.611
2013/05/13,14.3765
2013/05/14,-5.1936
2013/05/15,1.9246
2013/05/16,8.7292
2013/05/17,-0.8109
2013/05/20,-1.7049
2013/05/21,-2.6129
2013/05/22,-0.3996
2013/05/23,6.293
2013/05/24,4.691
2013/05/28,13.6527
2013/05/29,-5.1707
2013/05/30,0.3068
2013/05/31,-6.8509
2013/06/03,-5.2885
2013/06/04,2.4301
2013/06/05,0.5588
2013/06/06,2.0761
2013/06/07,4.8177
2013/06/10,-1.9502
2013/06/11,-5.5772
2013/06/12,3.4508
2013/06/13,0.4605
2013/06/14,2.1593
2013/06/17,1.8943
2013/06/18,1.1644
2013/06/19,1.2477
2013/06/20,-3.8498
2013/06/21,-1.0929
2013/06/24,1.9488
2013/06/25,0.8966
2013/06/26,3.2422
2013/06/27,3.339
2013/06/28,-1.73
2013/07/01,9.1459
2013/07/02,0.547
2013/07/03,-2.1898
2013/07/05,4.2086
2013/07/08,1.2657
2013/07/09,1.513
2013/07/10,-0.9559
2013/07/11,2.7317
2013/07/12,3.4153
2013/07/15,-2.0323
2013/07/16,-14.3093
2013/07/17,10.2705
2013/07/18,-1.0146
2013/07/19,0.5461
2013/07/22,2.2978
2013/07/23,0.2532
2013/07/24,-0.8473
2013/07/25,1.9474
2013/07/26,4.2879
2013/07/29,4.042
2013/07/30,-2.1394
2013/07/31,1.928
2013/08/01,0.9458
2013/08/02,1.8075
2013/08/05,4.8406
2013/08/06,-1.7487
2013/08/07,-5.5716
2013/08/08,14.3411
2013/08/09,-0.3127
2013/08/12,-3.6732
2013/08/13,-1.3231
2013/08/14,-4.1738
2013/08/15,0.2224
2013/08/16,1.6682
2013/08/19,2.0423
2013/08/20,3.2298
2013/08/21,-1.1499
2013/08/22,6.2492
2013/08/23,3.0165
2013/08/26,1.4712
2013/08/27,1.6989
2013/08/28,-0.3353
2013/08/29,-0.2343
2013/08/30,1.7704
2013/09/03,-0.0355
2013/09/04,0.9956
2013/09/05,-0.4056
2013/09/06,-1.7419
2013/09/09,-3.7552
2013/09/10,3.5283
2013/09/11,-1.713
2013/09/12,0.8623
2013/09/13,0.3699
2013/09/16,0.6282
2013/09/17,-0.2101
2013/09/18,-0.0072
2013/09/19,7.0402
2013/09/20,3.0744
2013/09/23,-1.2433
2013/09/24,0.6736
2013/09/25,1.5949
2013/09/26,1.8366
2013/09/27,1.198
2013/09/30,1.2939
2013/10/01,-0.1913
2013/10/02,-6.2435
2013/10/03,-4.2222
2013/10/04,4.4256
2013/10/07,1.1548
2013/10/08,-4.5556
2013/10/09,-3.4053
2013/10/10,2.4588
2013/10/11,3.3366
2013/10/14,0.5708
2013/10/15,2.3481
2013/10/16,-0.2066
2013/10/17,-0.4129
2013/10/18,0.3271
2013/10/21,-5.8888
2013/10/22,-0.6141
2013/10/23,-4.104
2013/10/24,5.2584
2013/10/25,-2.0156
2013/10/28,-4.008
2013/10/29,0.9886
2013/10/30,-3.1921
2013/10/31,0.4522
2013/11/01,1.3943
2013/11/04,8.0348
2013/11/05,0.9189
2013/11/06,-14.5071
2013/11/07,-7.5337
2013/11/08,-1.3036
2013/11/11,4.8916
2013/11/12,-4.7672
2013/11/13,0.6531
2013/11/14,-0.7931
2013/11/15,-1.5625
2013/11/18,-10.2399
2013/11/19,3.7095
2013/11/20,-3.9496
2013/11/21,0.8174
2013/11/22,-0.5897
2013/11/25,-0.4449
2013/11/26,-0.2814
2013/11/27,5.3444
2013/11/29,0.2678
2013/12/02,-2.4434
2013/12/03,16.5338
2013/12/04,-3.9737
2013/12/05,1.1011
2013/12/06,-2.221
2013/12/09,3.0001
2013/12/10,0.5011
2013/12/11,-1.7863
2013/12/12,5.5997
2013/12/13,0.1248
2013/12/16,0.1937
2013/12/17,3.0553
2013/12/18,-2.9385
2013/12/19,-4.9061
2013/12/20,1.7908
2013/12/23,0.2164
2013/12/24,5.4754
2013/12/26,2.7013
2013/12/27,-2.8167
2013/12/30,0.8735
2013/12/31,-1.3192
2014/01/02,-0.2187
2014/01/03,-0.3598
2014/01/06,-1.7117
2014/01/07,1.6054
2014/01/08,1.2855
2014/01/09,-2.4788
2014/01/10,-1.2269
2014/01/13,-4.3782
2014/01/14,15.7385
2014/01/15,1.7734
2014/01/16,4.1674
2014/01/17,-0.5615
2014/01/21,3.9233
2014/01/22,1.0641
2014/01/23,1.6465
2014/01/24,-3.8017
2014/01/27,-2.8522
2014/01/28,5.1645
2014/01/29,-1.7659
2014/01/30,4.3429
2014/01/31,-0.7821
2014/02/03,-2.3703
2014/02/04,0.9147
2014/02/05,-2.4115
2014/02/06,2.2704
2014/02/07,4.5689
2014/02/10,5.3772
2014/02/11,0.0305
2014/02/12,-0.6612
2014/02/13,2.2066
2014/02/14,-0.7013
2014/02/18,2.7594
2014/02/19,-4.9386
2014/02/20,8.4332
2014/02/21,-0.1762
2014/02/24,3.8406
2014/02/25,13.9444
2014/02/26,2.0161
2014/02/27,-0.1818
2014/02/28,-3.0609
2014/03/03,2.3488
2014/03/04,1.7082
2014/03/05,-0.8554
2014/03/06,0.1108
2014/03/07,-2.6607
2014/03/10,-2.9934
2014/03/11,-1.8548
2014/03/12,3.0203
2014/03/13,-1.5322
2014/03/14,-2.8681
2014/03/17,1.3032
2014/03/18,2.59
2014/03/19,-1.7497
2014/03/20,-0.3943
2014/03/21,-2.5627
2014/03/24,-3.8097
2014/03/25,0.1226
2014/03/26,-3.3932
2014/03/27,-2.6484
2014/03/28,2.4358
2014/03/31,-1.8458
2014/04/01,4.0873
2014/04/02,6.1391
2014/04/03,-2.1234
2014/04/04,-5.8452
2014/04/07,-2.217
2014/04/08,3.8261
2014/04/09,0.6823
2014/04/10,-5.8729
2014/04/11,-0.2008
2014/04/14,-2.7922
2014/04/15,-2.1102
2014/04/16,2.6817
2014/04/17,-0.4972
2014/04/21,3.1597
2014/04/22,6.9772
2014/04/23,-4.871
2014/04/24,-0.0625
2014/04/25,-3.8536
2014/04/28,-0.6705
2014/04/29,4.2366
2014/04/30,0.4688
2014/05/01,-0.077
2014/05/02,1.5308
2014/05/05,2.7026
2014/05/06,-4.3073
2014/05/07,-2.8609
2014/05/08,-11.3037
2014/05/09,2.055
2014/05/12,1.3223
2014/05/13,2.9729
2014/05/14,0.2419
2014/05/15,-1.0649
2014/05/16,1.5748
2014/05/19,2.3648
2014/05/20,-0.4029
2014/05/21,2.1249
2014/05/22,2.7225
2014/05/23,1.1812
2014/05/27,2.055
2014/05/28,-0.6239
2014/05/30,-1.1748
2014/06/02,-1.4776
2014/06/03,0.1172
2014/06/04,-0.4636
2014/06/05,1.4265
2014/06/06,0.6143
2014/06/09,-1.3744
2014/06/10,-1.4661
2014/06/11,1.0727
2014/06/12,-0.4646
2014/06/13,1.4249
2014/06/16,8.8121
2014/06/17,3.1432
2014/06/18,-1.964
2014/06/19,0.295
2014/06/20,0.7902
2014/06/23,3.3233
2014/06/24,-1.9897
2014/06/25,1.8886
2014/06/26,-0.545
2014/06/27,1.4686
2014/06/30,0.4183
2014/07/01,-0.1416
2014/07/02,-4.2946
